Maintaining Region,Owning Region,County,Municipality,Device Number,Main Route,Intersecting Route,Location,Device Type,Device Purpose,Device Priority,Maintenance Responsibility,Latitude (UTM Y [Meters]),Longitude (UTM X [Meters])
09-Binghamton,09-Binghamton,DELAWARE,DAVENPORT-TOWN,09-93-417,NY 023,CR 011,NY 23 @ CR 11 (PINDARS CORNERS),3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4698459,502968
09-Binghamton,09-Binghamton,DELAWARE,DAVENPORT-TOWN,09-93-425,NY 023,N/A OR None,NY 23 @ RM 23-9303-1046,FLASHER,SIGN,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4698533,505579
09-Binghamton,09-Binghamton,DELAWARE,DELHI-VILLAGE,09-93-421,NY 010,Church St,NY 10 @ CHURCH ST.,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4680635,506913
09-Binghamton,09-Binghamton,DELAWARE,DELHI-VILLAGE,09-93-404,NY 010,NY 028,NY 10 @ NY 28,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4680460,506743
09-Binghamton,09-Binghamton,DELAWARE,DELHI-VILLAGE,09-93-429,NY 010,N/A OR None,NY 10 @ SUNY DELHI PEDESTRIAN CROSSING,BEACON,PEDESTRIAN,SELECTIVE RESPONSE,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4679841,506470
09-Binghamton,09-Binghamton,DELAWARE,DEPOSIT-TOWN,09-93-422,NY 008,NY 010,NY 008 @ NY 010,FLASHER,STANDARD,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4658380,466884
09-Binghamton,09-Binghamton,DELAWARE,DEPOSIT-TOWN,09-93-420,NY 017,Roods Creek Rd,NY 17 @ ROODS CREEK RD.,FLASHER,STANDARD,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4650154,470282
09-Binghamton,09-Binghamton,DELAWARE,HAMDEN-TOWN,09-93-423,NY 010,CR 026,NY 10 @ CR 26 (OCTAGON FARM),FLASHER,STANDARD,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4669661,498551
09-Binghamton,09-Binghamton,DELAWARE,HAMDEN-TOWN,09-93-419,NY 010 NB,N/A OR None,NY 10 NB (NYSEG COMPLEX),BEACON,SIGN,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4669795,498742
09-Binghamton,09-Binghamton,DELAWARE,HANCOCK-VILLAGE,09-93-401,NY 097,Front St,NY 97 @ FRONT ST.,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4644740,476711
09-Binghamton,09-Binghamton,DELAWARE,HANCOCK-VILLAGE,09-93-400,NY 097,W Main St,NY 97 @ WEST MAIN ST. & FRONT ST.,FLASHER,STANDARD,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4644823,476712
09-Binghamton,09-Binghamton,DELAWARE,MARGARETVILLE-VILLAGE,09-93-424,NY 028,NY 030,NY 28 @ NY 30,FLASHER,STANDARD,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4666204,529194
09-Binghamton,09-Binghamton,DELAWARE,MARGARETVILLE-VILLAGE,09-93-402,NY 030,Main St,NY 30 @ MAIN ST.,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4666334,529072
09-Binghamton,09-Binghamton,DELAWARE,MASONVILLE-TOWN,09-93-409,NY 008,NY 206,NY 8 @ NY 206,FLASHER,STANDARD,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4676726,468859
09-Binghamton,09-Binghamton,DELAWARE,MASONVILLE-TOWN,09-93-416,NY 008 NB,Thorpe Hill Rd,NY 8 NB (MASONVILLE HILL),BEACON,SIGN,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4680568,467297
09-Binghamton,09-Binghamton,DELAWARE,MEREDITH-TOWN,09-93-426,NY 028,N/A OR None,NY 28 @ 28-9302-1390 (SOLAR POWERED BEACON),BEACON,SIGN,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4689713,504698
09-Binghamton,09-Binghamton,DELAWARE,MEREDITH-TOWN,09-93-427,NY 028,Catskill Turnpike Rd,NY 28 @ TURNPIKE ROAD (RM 28-9302-1385 ),FLASHER,STANDARD,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4689339,505168
09-Binghamton,09-Binghamton,DELAWARE,ROXBURY-TOWN,09-93-407,NY 023,NY 030,NY 23 @ NY 30,FLASHER,STANDARD,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4690131,541645
09-Binghamton,09-Binghamton,DELAWARE,SIDNEY-VILLAGE,09-93-412,NY 008,River St,NY 8 & RIVER ST.,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4684194,466658
09-Binghamton,09-Binghamton,DELAWARE,SIDNEY-VILLAGE,09-93-413,NY 008,Gifford Rd,NY 8 @ GIFFORD RD. & DELAWARE AVE.,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4683426,466684
09-Binghamton,09-Binghamton,DELAWARE,STAMFORD-VILLAGE,09-93-405,NY 010,NY 023,NY 10 @ NY 23,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4695398,530862
09-Binghamton,09-Binghamton,DELAWARE,STAMFORD-VILLAGE,09-93-406,NY 023,River St,NY 23 @ WEST MAIN & RIVER ST. (STAMFORD),3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4695437,531216
09-Binghamton,09-Binghamton,DELAWARE,TOMPKINS-TOWN,09-93-410,NY 206,CR 027,NY 206 @ CR 27 (TROUT CREEK RD.),FLASHER,STANDARD,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4672431,476941
09-Binghamton,09-Binghamton,DELAWARE,WALTON-TOWN,09-93-414,NY 206,Beers Brook Rd,NY 206 @ (BEAR SPRING MOUNTAIN CANTILEVER SIGN),BEACON,SIGN,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4664680,493269
09-Binghamton,09-Binghamton,DELAWARE,WALTON-VILLAGE,09-93-408,NY 010,NY 206,NY 10 & NY 206 @ NY 206 (BRIDGE ST.),3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4668443,489286
09-Binghamton,09-Binghamton,DELAWARE,WALTON-VILLAGE,09-93-408.1,NY 010,CR 021,NY 10 & NY 206 (DELAWARE ST)  @ TOWNSEND ST.,3-COLOR SIGNAL,NO CONTROLLER,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4668471,489218
09-Binghamton,09-Binghamton,DELAWARE,WALTON-VILLAGE,09-93-418,NY 010,NY 206,NY 10 & NY 206 WEST SIDE,FLASHER,STANDARD,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4668724,488524
09-Binghamton,09-Binghamton,DELAWARE,WALTON-VILLAGE,09-93-415,NY 206,Stockton Ave,NY 206 @ STOCKTON AVE.,FLASHER,STANDARD,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4668220,489273
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,AMENIA-TOWN,08-82-29,NY 022,NY 044,RT 22 @ RT 44 & RT 343,3-COLOR SIGNAL,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4634062.41,619774.06
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,AMENIA-TOWN,08-82-209PS,NY 022,,RT 22 @ METRO-NORTH WASSAIC EXTENSION,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4630131.25,619386.74
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,AMENIA-TOWN,08-82-117SIP,NY 022,,RT 22 @ MAPLEBROOK SCHOOL,BEACON,SIGN,FULL RESPONSE 1,PRIVATE ( PERMIT ),4636041.74,620736.28
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,AMENIA-TOWN,08-82-117.1SIP,NY 022,,RT 22 @ MAPLEBROOK SCHOOL,BEACON,SIGN,FULL RESPONSE 1,PRIVATE ( PERMIT ),4635919.93,620629.86
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,BEACON-CITY,08-82-26A,NY 009D,Beekman St,BEACON ARTERIAL @ BEEKMAN ST,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (STATE OWNED SIGNAL- MUNICIPAL ARTERIAL),4595814.35,585310.2
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,BEACON-CITY,08-82-25A,NY 009D,Main St,BEACON ARTERIAL (RT 9D) AT MAIN ST / MUNICIPAL BUILDING,3-COLOR SIGNAL,STANDARD,SELECTIVE RESPONSE 3,STATE RESPONSIBILITY (STATE OWNED SIGNAL- MUNICIPAL ARTERIAL),4595696.77,585324.82
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,BEACON-CITY,08-82-24A,NY 009D,Verplank Ave,BEACON ARTERIAL @ VERPLANK AVE,3-COLOR SIGNAL,STANDARD,SELECTIVE RESPONSE 3,STATE RESPONSIBILITY (STATE OWNED SIGNAL- MUNICIPAL ARTERIAL),4596168.45,585393.17
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,BEACON-TOWN,08-82-112,NY 009D,,RT 9D @ EASTBOUND RAMP OG I-84,3-COLOR SIGNAL,NO CONTROLLER,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4596723.16,585647.03
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,BEACON-TOWN,08-82-121,NY 009D,Red Schoolhouse Rd,RT 9D @ RED SCHOOLHOUSE RD,3-COLOR SIGNAL,STANDARD,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4599217.38,587529.69
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,BEACON-TOWN,08-82-228PS,NY 009D,,RT 9D @ DUTCHESS STADIUM,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4597904.09,586512.33
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,BEACON-TOWN,08-82-113,NY 009D,,RT 9D @ RAMP C WEST-BOUND FROM I-84,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4596805.48,585627.25
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,BEACON-TOWN,08-82-116,NY 052,Red Schoolhouse Rd,RT 52 (TOURING RT 980J) @ RED SCHOOLHOUSE RD,3-COLOR SIGNAL,STANDARD,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4597148.24,588338.32
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,BEEKMAN-TOWN,08-82-197,NY 055,Clove Valley Rd,RT 55 @ CR 9 (BEEKMAN RD),3-COLOR SIGNAL,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4609405.92,608555.22
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,BEEKMAN-TOWN,08-82-144,NY 055,NY 216,RT 55 @ RT 216,3-COLOR SIGNAL,STANDARD,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4607002.48,610586.62
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,DOVER-TOWN,08-82-76,NY 022,CR 021,RT 22 @ CR 21 (WINGDALE RD),3-COLOR SIGNAL,STANDARD,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4611621.92,619671.04
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,DOVER-TOWN,08-82-31,NY 022,Wheeler Rd,RT 22 @ HARLEM VALLEY STATE HOSPITAL,3-COLOR SIGNAL,STANDARD,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4610551.38,619018.97
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,DOVER-TOWN,08-82-235PS,NY 022,,RT 22 @ DOVER MIDDLE/HIGH SCHOOL,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4616102,618386
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,DOVER-TOWN,08-82-155,NY 022,Mill St,RT 22 @ MILL STREET,3-COLOR SIGNAL,STANDARD,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4621897.49,618003.88
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,DOVER-TOWN,08-82-235.1SIP,NY 022,,RT 22 SB; NORTH OF DOVER MIDDLE/HIGH SCHOOL,BEACON,STANDARD,SELECTIVE RESPONSE 3,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4616369.12,618316.12
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-172,I 084,Lime Kiln Rd,RT I-84 EXIT RAMP @ LIME KILN ROAD,3-COLOR SIGNAL,STANDARD,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4598080.45,599052.53
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-75P,NY 052,,RT 52 @ DR OF THE EAST PARKING LOT OF THE IBM CORP,3-COLOR SIGNAL,NO CONTROLLER,FULL RESPONSE 1,PRIVATE ( PERMIT ),4600154,598470.51
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-149,NY 052,NY 376,RT 52 @ RT 376 @ LIBRARY DRIVE,3-COLOR SIGNAL,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4600903.45,600426.33
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-61PS,NY 052,Palen Rd,RT 52 @ IBM & PALEN RD (CR 31),3-COLOR SIGNAL,STANDARD,SELECTIVE RESPONSE 3,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4599896.01,597701.65
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-135PS,NY 052,,RT 52 @ JOHN JAY HIGH SCHOOL DRIVEWAY,3-COLOR SIGNAL,STANDARD,SELECTIVE RESPONSE 3,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4599610.24,597211.49
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-154PS,NY 052,Roethel Dr,RT 52 @ IBM WEST GATE & ROETHAL (BAGGED 2012),3-COLOR SIGNAL,NO CONTROLLER,SELECTIVE RESPONSE 3,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4599282.77,596857.88
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-222,NY 052,Taconic State Pkwy,RT 52 @ SB TSP/DOT YARD,3-COLOR SIGNAL,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4601368.5,601663.04
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-169,NY 052,Binnewater Rd,RT 52 @ LIME KILN RD(CR 27)/SHENANDOAH RD,3-COLOR SIGNAL,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4600185.34,598527.17
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-221,NY 052,,RT 52 @ NB TSP/PARK AND RIDE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4601465.7,601720.5
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-98,NY 082,NY 376,RT 82 @ RT 376 (WEST),3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4603859.78,599313.15
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-118,NY 082,Clove Branch Rd,RT 82 @ CLOVE BRANCH RD,3-COLOR SIGNAL,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4605592.89,600429.12
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-119,NY 082,Palen Rd,RT 82 @ PALEN RD(CR31) & RR CROSSING ON RT 82,3-COLOR SIGNAL,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4603333.27,598337.9
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-157,NY 082,Old Hopewell Rd,RT 82 @ OLD HOPEWELL RD,3-COLOR SIGNAL,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4602844.96,596989.89
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-173,NY 082,NY 376,RT 82 @ RT 376 (EAST),3-COLOR SIGNAL,NO CONTROLLER,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4603959.61,599395.45
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-156,NY 082,Lake Walton Rd,RT 82 @ LAKE WALTON RD,3-COLOR SIGNAL,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4602900.9,597225.01
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-198PS,NY 082,,RT 82 @ UNITY PLAZA,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4603653.46,599003.89
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-210,NY 082,Beekman Rd,RT 82 @ BEEKMAN RD. (CR9),3-COLOR SIGNAL,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4604428.16,599887.58
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-138SI,NY 082,,RT 82 EAST OF PALEN RD (CR 31),BEACON,SIGN,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4603369.94,598542.03
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-239.1SI,NY 216,,RT 216 WB @ PHILLIPS RD; 300' before curve; by SunnyLane,BEACON,ONE WAY SIGNAL,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4603838,604756
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-239SI,NY 216,,RT 216 EB @ PHILLIPS RD; RM 1014,BEACON,ONE WAY SIGNAL,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4603719,604569
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-159,NY 376,Robinson Ln,RT 376 @ ROBINSON LANE,3-COLOR SIGNAL,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4606812.77,597466.05
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-180,NY 376,Hillside Lake Rd,RT 376 @ CR 29 (HILLSIDE LAKE),3-COLOR SIGNAL,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4606659.65,598082.71
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-251SI,NY 376,Town hall crosswalk,Route 376 @ Town Hall Crosswalk,BEACON,RECTANGULAR RAPID FLASHING BEACON,,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-226,NY 987G,Beekman Rd,TSP @ BEEKMAN / SYLVAN LK RD,3-COLOR SIGNAL,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4605650.59,603153.3
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-217.1SI,NY 987G,,TSP SOUTH OF HOSNER MOUNTAIN RD,FLASHER,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4599940.99,602203.75
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-217SI,NY 987G,,TSP NORTH OF HOSNER MOUNTAIN RD,FLASHER,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4599981.06,602179.26
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,EAST FISHKILL-TOWN,08-82-216SI,NY 987G,Carpenter Rd,TSP @ CARPENTER RD.,FLASHER,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4603960.62,601940.36
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,FAIRVIEW-VILLAGE,08-82-03-8515,,,Res. 8-2 Fairview Substation,ITS LOCATIONS,DYNAMIC MESSAGE BOARD,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,FAIRVIEW-VILLAGE,08-82-03-8517,,,Res. 8-2 Fairview Substation,ITS LOCATIONS,DYNAMIC MESSAGE BOARD,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,FAIRVIEW-VILLAGE,08-82-03-8514,,,Res. 8-2 Fairview Substation,ITS LOCATIONS,DYNAMIC MESSAGE BOARD,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),,
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,FISHKILL-TOWN,08-82-224,NY 009D,Brockway Rd,RT 9D @ BROCKWAY ROAD,3-COLOR SIGNAL,STANDARD,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4597749.77,586300.96
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,FISHKILL-TOWN,08-82-227,NY 052,Merritt Blvd,RT 52 @ MERRITT BLVD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4599503.25,594719.42
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,FISHKILL-TOWN,08-82-163PS,NY 052,,RT 52 @ DUTCHESS PARK SHOPPING CENTER / A&P,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4599781.24,593944.82
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,FISHKILL-TOWN,08-82-220PS,NY 052,Summit Ct,RT 52 @ SUMMIT COURT,3-COLOR SIGNAL,STANDARD,PARTIAL RESPONSE 2,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4599244.48,593010.95
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,FISHKILL-TOWN,08-82-107,NY 052,,RT 52 @ WB EXIT RAMP OF I-84,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4597868.97,590466.29
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,FISHKILL-TOWN,08-82-106,NY 052,I 084,RT 52 @ EB EXIT RAMP OF I-84 & HEATH,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4597819.26,590338.28
08-Poughkeepsie,08-Poughkeepsie,DUTCHESS,FISHKILL-TOWN,08-82-63,NY 052,NY 082,RT 52 @ RT 82,3-COLOR SIGNAL,STANDARD,PARTIAL RESPONSE 2,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4599828.27,594330.37
